          F2ppm           F1ppm       Intensity 
     1      8.6898          151.7180       256901.97
     2      7.6416          131.7949      7314644.00
     3      6.8507          117.8585     12631336.00
     4      6.6868          114.8706     21770924.00
     5      4.5045           48.1338     23769816.00
     6      4.3466           57.7731     17307306.00
     7      4.0782           57.7731     28038540.00
     8      2.4339           35.1948     18439980.00
     9      2.2751           35.1948     11848360.00
    10      2.2583           30.2193      5347088.00
    11      2.1941           36.8509     23393332.00
    12      2.0607           30.2202     10298354.00
    13      2.0182           31.2346      7233148.00
    14      1.8757           30.5375      6170770.00
    15      1.8486           31.2323      7335916.00
