        F2ppm           F1ppm       Intensity       
     1   8.6929          151.7246      6525139.38
     2   8.6341          153.0418     10183390.00
     3   8.0536          139.9280      8152990.13
     4   7.5941          127.5014     10158080.13
     5   4.4521           72.3602      8461135.50
     6   3.8190           58.7485      4430307.50
     7   3.3391           58.7485      3778333.25
     8   2.7567           40.8410     40846260.50
     9   2.5943           32.8691      4179940.75
    10   2.3871           32.8691      3612495.63
    11   2.2963           24.1345      7220803.75
