           F2ppm         F1ppm       Intensity 
     1      8.4695          150.2144      1749552.00
     2      7.9190          141.4624      2354548.00
     3      7.6237          124.7579      2507506.00
     4      7.4332          131.4060      6369070.00
     5      7.4313          129.8071      9438694.00
     6      7.4160          125.9360      3126906.00
     7      7.3932          130.8169      2672582.00
     8      3.6975           59.2607      1249038.00
     9      3.5658           59.2607      1278768.00
    10      3.3813           60.0846      4634880.00
    11      2.4589           35.6623      9678082.00
    12      2.0135           25.7169      8694230.00
