    F2ppm	F1ppm	Intensity
1    7.3853	131.6188	2618872.00
2    7.3046	131.3486	2860424.00
3    7.2928	129.2980	1402424.00
4    4.2905	64.8235	1420520.00
5    4.0498	61.0798	1579000.00
6    3.5819	50.5398	482560.00
7    3.2829	64.7947	1681992.00
8    3.0191	41.9112	2136200.00
9    2.7084	33.6730	1153552.00
10  2.2309	31.8562	391664.00
11  2.0768	35.4585	1327616.00
12  1.9530	27.0011	225400.00
13  1.9262	32.8193
14  1.9095	31.8562	721728.00
15  1.7079	29.1311	940800.00
16  1.5664	23.6807	722248.00
