      F2ppm          F1ppm       Intensity       
     1 5.3405          131.9380      45790153.50
     2 2.2692           35.1815      42016376.50
     3 2.0300           28.2432      77153239.00
     4 1.5939           26.2302      31266845.50
     5 1.3129           23.9040      52505066.50
     6 1.3493           30.8870      10440110.50
     7 1.3000           30.5217
     8 1.3014           31.0672     242545730.00
     9 1.2914           33.1934      15653265.00
    10 0.8990           14.6083       6191165.50

