        F2ppm           F1ppm      Intensity       
     1  7.1403          112.5406      4317953.69
     2  6.7812          143.7688       431928.19
     3  6.7225          143.5794       616654.81
     4  6.5817          117.8676       415502.81
     5  6.1706           95.2909      2028428.75
     6  6.1659           88.0450      5109797.31
     7  6.1584           96.2391      3648159.44
     8  4.6625           57.4330      1846711.69
     9  4.6375           75.3635      3032059.19
    10  4.3165           73.5416      2173640.88
    11  4.2042           58.1617       764812.56
    12  4.1932           75.0754      1267052.88
    13  4.1122           70.5764      4389947.00
    14  4.0548           83.6595      3385233.56
    15  3.8894           62.5345      1428800.81
    16  3.8174           56.7692      1761244.63
    17  3.7425           62.5626      1481337.38
    18  3.6891           46.8117       809354.50
    19  3.5541           58.1109       765695.69
    20  3.4896           55.1163       735512.06
    21  3.3732           55.4353      1216794.06
    22  3.0268           40.2498       496739.44
    23  2.8100           46.8179      1709110.19
    24  2.7163           33.7917       389362.63
    25  2.6871           33.5405       415916.81
    26  2.6342           32.5729      5560597.81
    27  2.6302           16.3175      2422595.81
    28  2.6051           33.1934       590517.25
    29  2.5547           35.5516      3394056.31
    30  2.4969           43.5092       430493.13
    31  2.4912           36.2049      1552737.63
    32  2.4643           43.3310       357197.63
    33  2.4524           45.8450       246926.56
    34  2.4354           36.2444       293320.69
    35  2.3455           43.2291       567696.56
    36  2.2911           20.8662      6250648.06
    37  2.2370           20.2059      3242457.63
    38  2.2314           43.2731      1086677.00
    39  2.2266           33.1922      1258784.50
    40  2.2000           43.4492       432807.63
    41  2.1854           45.8311       344403.88
    42  2.1313           27.8990       765783.69
    43  2.0947           29.5830       978268.56
    44  2.0738           27.5622       666846.81
    45  1.9771           27.8990      1249481.06
    46  1.9335           20.5453      1952620.81
    47  1.9083           20.2366      2617856.13
    48  1.8752           29.5830      1044008.50
    49  1.8578           33.8773       762984.31
    50  1.8412           33.6528       910455.81
    51  1.7654           33.2037       947255.38
    52  1.5061           21.2459      3088935.69
    53  1.4878           20.9218      5070235.06
    54  1.4298           17.7870      1177087.19
    55  1.3784           18.0487       861983.44
    56  1.3205           32.8772      3290153.19
    57  1.2822           17.4219       456186.13
    58  1.2688           33.1845      6374969.75
    59  1.2650           24.2124      6364773.44
    60  1.2555           20.2180      4341268.69
    61  1.2557           73.6245       514091.13
    62  1.2135           27.3921       268300.63
    63  1.0980           27.7168       582247.50
    64  0.4650           20.8986      1371867.69
