             F2ppm           F1ppm       Intensity 
     1         5.3903          130.3209      9648689.63
     2         5.3609          128.0561     22192557.63
     3         2.8116           25.5582     41055935.63
     4         2.3499           33.8636     58664646.50
     5         2.0616           27.2089     40848074.13
     6         1.6357           24.5584     47696095.38
     7         1.3464           28.9781     69847000.63
     8         1.3470           24.9485      8402865.75
     9         1.2922           31.5276     17730360.75
    10         0.8903           13.9337      7810159.75
