        F2ppm           F1ppm       Intensity      
     1   7.3119          129.1342     26027283.31
     2   6.8122          116.3416     24575001.88
     3   6.1704           96.6128     25609777.38
     4   6.1503           97.9307     22291306.25
     5   5.3702           80.6725      6845530.25
     6   5.2379          102.5762     20304858.19
     7   5.0913           99.2657     13104433.38
     8   3.9244           72.0486     23964391.75
     9   3.8713           70.0514      9205208.38
    10   3.8596           62.0864      4217377.00
    11   3.6742           62.0857      6034392.19
    12   3.6309           79.0068     11702547.31
    13   3.5780           79.0068     11156791.63
    14   3.5842           72.0415      9268048.69
    15   3.4372           78.0145      9191994.94
    16   3.3818           71.1845      8126811.00
    17   3.3786           73.8532     11243847.25
    18   3.3024           49.2609     20867933.75
    19   3.1616           43.9977      4710596.50
    20   2.7469           43.9977      -103205.72
    21   1.2788           18.2536      8662557.94
