             F2ppm           F1ppm       Intensity
     1         5.4008          120.6409     17438125.88
     2         4.7032          108.3533     40639796.63
     3         2.1047           41.1386      7353240.13
     4         2.0752           30.8488      5624858.25
     5         2.0426           30.5144      6697741.38
     6         1.9522           30.5144      3338451.63
     7         1.9167           30.8488      4414735.75
     8         1.7939           27.8622      6043254.00
     9         1.7349           20.8885     47533783.50
    10         1.6529           23.5498     53416104.50
    11         1.4716           27.8610      5374415.38
