            F2ppm           F1ppm       Intensity 
     1        7.3267          129.8210     30357993.25
     2        7.2503          129.8210     20740039.50
     3        7.2048          116.8786     18416279.75
     4        7.0251          123.6757     23379429.75
     5        4.8667          103.2616     32938478.75
     6        4.7720           60.9539      5979009.38
     7        4.5688           60.9539      5060186.25
     8        3.8895           62.4239     10508112.88
     9        3.7011           62.4239     13852661.88
    10        3.5022           75.0388     20321252.50
    11        3.4551           78.0302     17589033.50
    12        3.4028           78.0331     15736818.50
    13        3.3963           71.3841      8867640.63
