      F2ppm           F1ppm       Intensity     
     1  5.3554          121.6646    318901810.00
     2  2.0333           27.7103     61235336.00
     3  1.9959           31.8657    116738868.00
     4  1.9301           31.8657     57911890.00
     5  1.9008           24.8991    106087806.00
     6  1.7716           27.7109     88669588.00
     7  1.6191           23.5734    814098130.00
     8  1.4788           45.9014    135337008.00
     9  1.2263           24.8996     72317056.00
    10  1.1380           27.2328   1051057650.00
    11  1.1244           26.0709    816561196.00
