         F2ppm           F1ppm     Intensity 
     1    8.5709          149.0657     16940504.25
     2    8.4356          149.0657     16758894.25
     3    7.8771          136.4535     32977424.00
     4    7.4276          125.1737     32713651.88
     5    5.8883          126.1483     18063287.88
     6    5.8211          126.8176     17063507.75
     7    3.9181           56.1111     35778509.75
     8    3.5429           46.4817      5706836.63
     9    3.4017           46.4804      4568750.50
    10    2.2817           34.0945     56754504.13
