          F2ppm          F1ppm       Intensity
     1     6.6224          137.1079      3073728.75
     2     4.7924          110.8823       612237.88
     3     2.3108           28.0797       363094.38
     4     2.2878           33.2031       356728.88
     5     2.1939           42.4963      1257499.63
     6     2.1823           28.0805       771590.00
     7     2.0880           33.2035       530482.38
     8     1.8536           29.7147       766888.63
     9     1.7600           22.5784      6104487.63
    10     1.4594           29.7140       611545.13
