          F2ppm         F1ppm       Intensity  
     1     8.3204          146.7340      1635233.56
     2     7.6279          139.2916     14570588.88
     3     7.2430          123.8394     17790952.63
     4     7.2079          130.1458     33362141.50
     5     7.1552          126.8196     15308700.31
     6     7.1137          131.3263     12793530.88
     7     4.1204           62.4346     18891046.50
     8     3.7764           45.5022     11711035.50
     9     3.4298           32.5654      4486021.00
    10     3.3860           31.8797      4525729.44
    11     3.2146           45.5022      8064049.00
    12     2.8839           31.8785      5508779.25
    13     2.8388           32.5657      4598146.00
    14     2.3899           31.2239     15147664.31
    15     2.3460           31.2239     10419299.00
    16     2.2076           31.2239      6528801.56
    17     1.2548           14.7772      1655179.75
