             F2ppm          F1ppm      Intensity  
     1        7.1289          130.1299     29627003.50
     2        6.8708          114.1984     32130717.88
     3        4.0375           60.7423      5043862.75
     4        3.8087           55.4219     59546942.13
     5        3.3870           52.6093     18494145.75
     6        3.1338           60.7423      6784009.75
     7        2.8176           45.1464     35301929.50
     8        2.6183           42.6598     30236238.25
     9        1.7203           36.6953      4769716.75
    10        1.6912           21.5737      4156836.88
    11        1.5859           21.2416      4640513.88
    12        1.5562           25.3153      5254856.88
    13        1.4974           21.5726      9351718.00
    14        1.4717           31.5321      6654504.88
    15        1.4651           21.2433      9804951.75
    16        1.3163           36.6959      7685609.50
    17        1.1360           31.5324      8079343.00
    18        0.9049           25.3152      3694917.50
