           F2ppm           F1ppm       Intensity 
     1        7.4789          133.7882       602821.41
     2        7.3641          132.1193       538782.28
     3        7.2734          130.4642       523194.91
     4        7.1855          130.8057       585357.97
     5        5.3434           40.1644      1153971.09
     6        4.6927           69.7185        71583.72
     7        4.6282           69.7185       105415.25
     8        4.0766           64.0659       751908.75
     9        3.8069           69.0509      1306941.50
    10        3.6130           54.1053      2244743.03
    11        3.2577           41.6493      1057567.28
    12        2.2853           20.5822       357957.09
    13        1.1634           15.9346       230270.25
    
