          F2ppm          F1ppm       Intensity 
     1     5.6193          122.8382     22107973.06
     2     3.6011           70.0490     12258619.00
     3     2.3928           31.8810      5724309.56
     4     2.3911           33.5353      4349664.56
     5     2.2355           31.8810      4889392.69
     6     2.1473           33.5364      2618690.38
     7     1.9537           34.8633      4454626.38
     8     1.9179           36.5245      5733952.44
     9     1.7944           31.8702      6043481.81
    10     1.7065           49.8058      6720277.56
    11     1.6481           30.5479      5632620.69
    12     1.5927           34.8618      4187133.38
    13     1.5779           22.9100      5566711.56
    14     1.5748           36.5196      5557152.44
    15     1.5277           34.7150      5089395.44
    16     1.4905           19.9239      5412099.44
    17     1.4075           30.5473      5409889.81
    18     1.3256           19.9246      3230883.13
    19     1.1386           16.7357     14411808.00
    20     1.0869           22.9051      4320183.19
    21     1.0232           18.6011     23046120.00
    22     0.9566           31.8690      3655718.31
    23     0.8267           53.1164      7602951.25
    24     0.6827           13.9512      6651979.88
