      F2ppm           F1ppm       Intensity      
     1  5.3826          130.4438     41269436.75
     2  2.3428           34.0450     30647179.25
     3  1.9647           32.6730     76909703.25
     4  1.6320           24.6943     29876356.50
     5  1.3258           29.4599     54845550.25
     6  1.2912           22.6726     13554375.00
     7  1.2699           29.3155    119414406.00
     8  1.2646           31.8066     16809363.50
     9  0.9132           14.1162     10612514.00
    10  0.8493           14.1162     10787114.75
