         F2ppm           F1ppm       Intensity       
     1  4.2972           64.7120      1905888.00
     2  4.2685           64.3477       974108.00
     3  3.9452           43.2901      2741184.00
     4  3.8961           42.9532        89444.00
     5  3.6349           42.9532         3636.00
     6  3.5879           49.5938       487032.00
     7  3.5350           49.2478       849756.00
     8  2.3207           34.3189       179572.00
     9  2.2444           32.3321       410076.00
    10  2.1265           34.3185       196044.00
    11  1.9484           32.3320       264704.00
    12  1.9917           27.0178       732712.00
    13  1.9220           25.0254       194280.00
    14  1.8457           25.0254       161240.00
