accession,name,kingdom,super_class,class,sub_class,group
HMDB0000001,1-Methylhistidine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0000002,"1,3-Diaminopropane",Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Nitrogenous & organic acids
HMDB0000005,2-Ketobutyric acid,Organic compounds,Organic acids and derivatives,Keto acids and derivatives,Short-chain keto acids and derivatives,Nitrogenous & organic acids
HMDB0000008,2-Hydroxybutyric acid,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Alpha hydroxy acids and derivatives,Nitrogenous & organic acids
HMDB0000010,2-Methoxyestrone,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Estrane steroids,Lipids
HMDB0000011,3-Hydroxybutyric acid,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,Nitrogenous & organic acids
HMDB0000012,Deoxyuridine,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,Pyrimidine 2'-deoxyribonucleosides,Heterocycles & nucleotides
HMDB0000014,Deoxycytidine,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,Pyrimidine 2'-deoxyribonucleosides,Heterocycles & nucleotides
HMDB0000016,Deoxycorticosterone,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Hydroxysteroids,Lipids
HMDB0000017,4-Pyridoxic acid,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives,Heterocycles & nucleotides
HMDB0000019,alpha-Ketoisovaleric acid,Organic compounds,Organic acids and derivatives,Keto acids and derivatives,Short-chain keto acids and derivatives,Nitrogenous & organic acids
HMDB0000020,p-Hydroxyphenylacetic acid,Organic compounds,Benzenoids,Phenols,1-hydroxy-2-unsubstituted benzenoids,Aromatics
HMDB0000021,Iodotyrosine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0000022,3-Methoxytyramine,Organic compounds,Benzenoids,Phenols,Methoxyphenols,Aromatics
HMDB0000023,(S)-3-Hydroxyisobutyric acid,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,Nitrogenous & organic acids
HMDB0000026,Ureidopropionic acid,Organic compounds,Organic acids and derivatives,Organic carbonic acids and derivatives,Ureas,Nitrogenous & organic acids
