bmrb_id,str_path,status,n_points,record_type,out_txt,name,inchi,inchikey,smiles
bmse000001,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000001/bmse000001.str,no_1H_data_found,0,,,1-3-diaminopropane,,,
bmse000002,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000002/bmse000002.str,no_1H_data_found,0,,,"2,3-diphospho-D-glyceric acid",,,
bmse000003,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000003/bmse000003.str,no_1H_data_found,0,,,2'-Deoxyguanosine,,,
bmse000004,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000004/bmse000004.str,no_1H_data_found,0,,,ADP,,,
bmse000005,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000005/bmse000005.str,no_1H_data_found,0,,,AMP,,,
bmse000006,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000006/bmse000006.str,no_1H_data_found,0,,,ATP,,,
bmse000007,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000007/bmse000007.str,no_1H_data_found,0,,,D-(-)-3-phosphoglyceric acid,,,
bmse000008,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000008/bmse000008.str,no_1H_data_found,0,,,D-allose,,,
bmse000010,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000010/bmse000010.str,no_1H_data_found,0,,,D-(-)-Fructose,,,
bmse000011,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000011/bmse000011.str,no_1H_data_found,0,,,"D-fructose-1,6-bisphosphate",,,
bmse000012,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000012/bmse000012.str,no_1H_data_found,0,,,D-fructose-6-phosphate,,,
