ppm,intensity
7.20075,6582.310017
7.181023,6006.043662
7.161048,9861.65747
7.072613,4481.981926
7.069451,9819.81443
7.06634,4867.893524
7.053597,3755.630108
7.050366,7122.343592
7.04734,3833.151008
6.996363,7666.578429
6.992706,6675.70703
6.989569,8105.190529
6.986122,6703.333309
6.848878,163.500587
6.846409,170.627562
6.842597,218.172388
6.83709,4963.022769
6.834507,4851.004423
6.830514,4255.397444
6.827955,4535.928632
6.816364,4309.697788
6.813736,4440.497747
6.809757,3814.6215
6.807267,3975.919932
3.750535,106448.018298
